iteration.end	Min.end	ED50.end	Threshold_RH.end	virulence.end	cadaver_longevity.end	sporu_cada_longevity.end	infected_immigrants.end	LTimmigrants.end	LTAdult.end	LTNymph.end	immunity_cost.end	d_cadaver.sum	density.sum
NA												NA	NA
179	26	751	92	0.885094	106	42	0.585211	49	97	145	0.460825	0.717355	1522.99
180	21	781	76	0.797371	62	93	0.628891	42	67	89	0.19082	5.34792	955.428
181	12	835	78	0.85949	113	138	0.492313	45	178	61	0.773003	5.52888	1312.61
182	25	820	86	0.487666	93	148	0.433709	44	165	175	0.220793	4.44665	1871.69
183	21	833	73	0.822854	67	236	0.173065	57	78	123	0.664422	12.729	1680.29
184	16	756	79	0.389137	122	63	0.442185	54	104	93	0.555102	1.95386	802.733
185	11	790	93	0.547857	99	76	0.38164	41	175	117	0.178886	0.0028077	832.311
186	12	797	81	0.336915	95	211	0.529159	52	75	140	0.140995	3.7841	855.983
187	25	832	70	0.543447	89	169	0.512392	50	61	135	0.0142377	13.0249	1786.52
188	24	791	76	0.244745	90	136	0.56113	82	124	64	0.431152	4.67731	1580.18
189	15	764	81	0.260239	100	137	0.551788	93	109	119	0.7648	2.67891	942.31
190	19	749	75	0.677679	86	217	0.14718	96	113	79	0.621867	6.30075	854.675
191	18	770	83	0.347485	101	200	0.582982	33	102	116	0.494867	5.98146	917.881
192	25	758	87	0.893661	68	182	0.150668	94	64	95	0.649846	5.51458	1351.34
193	15	764	85	0.370084	78	162	0.498046	97	148	91	0.733741	2.57196	976.651
194	26	747	74	0.372213	103	56	0.415046	80	111	127	0.442955	2.10193	1517.13
195	24	767	89	0.685667	96	58	0.554602	67	164	122	0.314495	1.79406	1261.82
196	18	823	76	0.692058	69	248	0.571446	68	94	134	0.548238	10.0065	1333.46
197	21	839	75	0.725235	121	90	0.670868	91	132	131	0.15602	3.80418	1656.15
198	11	781	91	0.265397	67	194	0.608682	50	173	105	0.0647141	0.25914	807.475
199	24	777	78	0.500359	120	70	0.235176	55	72	68	0.36869	2.98072	1399.71
200	23	761	86	0.657444	116	62	0.194876	63	147	121	0.122488	1.74696	1243.41
201	21	755	90	0.745958	101	161	0.187052	43	63	82	0.589276	1.11758	973.755
202	10	803	75	0.336356	109	239	0.280632	34	110	158	0.594557	6.39154	864.081
203	11	770	87	0.596374	65	233	0.597499	53	155	168	0.112386	3.55505	755.94
204	19	778	93	0.916146	65	89	0.632439	65	93	75	0.440119	0.334417	1139.1
205	26	785	92	0.866516	109	233	0.33307	64	139	102	0.284945	2.71489	1825.93
206	17	788	89	0.227837	70	55	0.177739	59	176	159	0.00147804	0.741014	1083.61
207	15	754	76	0.248674	84	189	0.321215	58	136	104	0.198943	4.55364	782.834
208	15	807	85	0.872918	102	94	0.19792	52	103	99	0.362265	1.63687	1076.79
209	12	827	94	0.878438	107	92	0.192812	37	149	179	0.706436	3.34825e-6	1203.64
210	21	821	89	0.57213	89	125	0.215688	91	168	110	0.208531	2.24261	1602.47
211	13	811	76	0.289479	120	237	0.50279	70	171	114	0.660558	6.7388	1057.98
212	14	753	84	0.2417	107	84	0.366848	42	162	70	0.233486	1.99191	804.731
213	13	806	85	0.245008	104	225	0.385549	93	64	152	0.696137	3.19678	1091.02
214	15	797	80	0.772106	88	46	0.37803	79	132	79	0.0766971	1.02326	940.982
215	23	799	74	0.604513	101	144	0.140049	98	141	144	0.687325	4.48955	1466.51
216	12	839	74	0.908878	56	219	0.375507	46	170	73	0.52101	8.19664	1168.89
217	24	840	85	0.813855	91	138	0.122027	75	146	70	0.0455207	3.0614	1958.45
218	26	811	70	0.292804	68	43	0.259453	44	165	104	0.617551	1.35331	2107.55
219	10	837	73	0.591643	107	151	0.592055	69	170	144	0.531747	4.18158	1060.61
220	20	798	85	0.731683	89	177	0.467081	54	72	150	0.197093	5.02602	1266.11
221	13	831	70	0.531783	58	216	0.119489	55	75	63	0.136386	6.12361	1135.5
222	10	829	78	0.84843	110	112	0.44982	70	105	160	0.569367	2.97458	1100.51
223	23	830	70	0.608056	73	246	0.338754	49	77	126	0.21232	19.7604	1655.08
224	23	804	73	0.929285	59	122	0.603241	39	76	139	0.367627	8.7403	1064.56
225	22	788	75	0.938571	79	110	0.186448	34	172	74	0.235699	8.4149	1030.6
226	21	782	92	0.758725	68	220	0.234717	41	119	137	0.325478	1.37102	1264.66
227	16	759	83	0.266522	71	199	0.419358	71	130	123	0.545863	3.61551	809.174
