fileNumber	cropAtStart	cropHalfways	k	propExposedImmigrants	lethalTime	immunityCost	cadaverDuration	timeAcceleration	sporulationOn	transmissionEfficiency	BiocontrolSuccess
14	16.5228	777.011	25	0.507481	69.1927	0.219125	74.0474	2.83274	94.5354	0.336058	0
18	26.1599	793.482	28	0.554837	79.9522	0.0426928	95.2587	2.33483	88.3473	0.320532	0
8	18.6811	797.202	29	0.297222	76.8826	0.385622	70.0852	2.38171	80.6608	0.27762	0
7	16.1721	833.184	29	0.310529	74.6271	0.131091	76.1976	2.56349	94.6307	0.270661	0
12	10.7879	778.087	30	0.611631	69.4538	0.0864516	75.9558	2.96014	88.8478	0.233912	0
12	12.1127	830.487	26	0.44845	79.0974	0.215934	51.2763	2.2935	91.052	0.258289	0
14	15.852	817.838	26	0.618866	71.9537	0.234428	88.1634	2.69723	87.8229	0.227094	0
17	19.5984	791.452	20	0.146481	80.1179	0.277643	85.2904	2.36294	81.4158	0.452631	0
32	25.9178	810.65	16	0.172169	74.1626	0.29211	67.5644	1.90279	87.1742	0.275617	0
37	12.4965	822.101	16	0.386546	77.62	0.175625	83.8609	2.51378	89.9374	0.307393	0
5	14.0589	786.461	20	0.441135	55.0734	0.0866167	84.0442	2.07554	85.5839	0.27752	0
8	16.3025	810.533	27	0.401557	75.6852	0.196588	83.4473	2.09804	89.7523	0.317282	0
38	21.3136	795.317	27	0.463148	67.9794	0.0742754	102.519	2.93241	90.5508	0.269258	0
21	15.3912	776.777	17	0.284336	75.1519	0.16403	95.6863	2.54793	85.1216	0.255011	0
29	26.6437	791.73	22	0.551352	72.1008	0.30013	66.4939	1.91778	84.2847	0.313343	0
21	18.4325	789.544	18	0.699546	67.3647	0.256941	74.328	1.83499	88.0978	0.214613	0
15	15.821	777.921	24	0.346423	88.7573	0.271844	59.8841	2.01721	87.9584	0.365343	0
33	23.4166	816.649	25	0.417323	74.8342	0.245301	72.3251	1.97515	84.0192	0.121574	0
39	24.2081	759.527	28	0.369635	68.5233	0.210638	80.0664	2.81156	93.5694	0.287505	0
2	19.2243	804.314	21	0.607151	70.8685	0.22343	90.2335	2.45445	82.8185	0.295159	0
