Date	I	Tavg	Tmax	Tmin
08/09/2019	218.2673611	27.89756098	33.3	20.9
09/09/2019	202.3576389	26.02881944	31.1	21.5
10/09/2019	220.0138889	27.87152778	31.7	23.8
11/09/2019	205.1145833	28.68958333	35.3	24
12/09/2019	232.7743056	26.92638889	32.9	21.8
13/09/2019	225.8298611	27.31840278	32.6	22.8
14/09/2019	211.8506944	28.29097222	32.2	24.2
15/09/2019	164.84375	25.24131944	29.8	21
16/09/2019	211.7152778	26.03472222	32.1	21.8
17/09/2019	136.3194444	25.15833333	29.5	22
18/09/2019	223.9965278	28.04166667	33.5	23.6
19/09/2019	222.9791667	27.44861111	33.6	21.6
20/09/2019	177.5625	26.44826389	31.4	22.4
21/09/2019	230.3090278	28.26458333	33.7	23.8
22/09/2019	225.3854167	29.34826389	34.5	24.7
23/09/2019	216.3888889	29.69027778	35.7	26.1
24/09/2019	211.3541667	29.26423611	33.9	26.2
25/09/2019	222.0381944	29.61527778	35.5	25.1
26/09/2019	205.3888889	29.80625	34.4	25.4
27/09/2019	222.9930556	28.96145833	35.6	23.3
28/09/2019	219.9652778	28.63645833	34.3	23.3
29/09/2019	218.6284722	29.85833333	35.2	25.4
30/09/2019	175.7569444	28.03680556	33	25.2
01/10/2019	214.7430556	28.54097222	34.7	20.6
02/10/2019	146.6145833	25.921875	32.9	20.7
03/10/2019	231.40625	27.60208333	32.7	23.2
04/10/2019	231.0972222	27.18013937	33.1	19.8
05/10/2019	180.9270833	26.53958333	31.6	22.3
06/10/2019	204.0555556	28.34618056	33.7	24.7
07/10/2019	165.9340278	26.68263889	31.7	23
08/10/2019	175.2256944	26.80694444	31.9	23.3
09/10/2019	164.1388889	25.95833333	30.1	22.9
10/10/2019	81.39930556	24.34791667	27.5	22.3
11/10/2019	211.3298611	26.55972222	32.5	21.7
12/10/2019	171.6597222	26.38333333	31.4	22.3
13/10/2019	222.3888889	27.81423611	34.1	22.9
14/10/2019	219.3888889	28.465625	35.4	23.8
15/10/2019	211.0659722	28.89479167	35	23.7
16/10/2019	207.5520833	27.25034722	34.9	21.4
17/10/2019	204.9791667	26.39270833	32.4	22.4
18/10/2019	196.2326389	27.990625	35	22.8
19/10/2019	200.4722222	26.39545455	33.9	19.9
20/10/2019	152.6076389	26.04513889	30.4	22.9
21/10/2019	196.0902778	27.75694444	34.2	23.1
22/10/2019	216.0902778	28.88020833	36.4	23.6
23/10/2019	215.0243056	28.35520833	36.2	22.9
24/10/2019	179.5729167	27.64409722	35.8	21.6
25/10/2019	225.7465278	26.58472222	35.9	18.6
26/10/2019	180.8125	27.15868056	33.8	20.8
27/10/2019	200.90625	28.31215278	35.5	22.8
28/10/2019	195.7361111	27.08090278	33.4	21.2
29/10/2019	119.7569444	27.07152778	32.3	22.3
30/10/2019	128.625	28.33020833	34.2	25.1
31/10/2019	194.6319444	28.05208333	35.6	21.6
01/11/2019	217.875	27.47673611	36.7	18.4
02/11/2019	216.7847222	26.29201389	36.4	16.6
03/11/2019	192.9270833	26.49131944	37.4	17.8
04/11/2019	216.5625	27.58472222	37.8	17.9
05/11/2019	210.9166667	27.33055556	38	16.6
06/11/2019	206.78125	27.47569444	37.4	18.7
07/11/2019	210.7430556	27.92152778	38.5	18
08/11/2019	209.4375	26.78541667	37.5	16.9
09/11/2019	205.7291667	27.20659722	38	17.2
10/11/2019	196.3784722	27.84965278	37.8	18.6
11/11/2019	178.9652778	28.66527778	38	20.2
12/11/2019	187.6388889	28.709375	37.4	21.1
13/11/2019	183.4131944	27.24930556	35.8	18
14/11/2019	191.0659722	27.6	36	20.6
15/11/2019	195.6284722	26.98229167	36.2	19.4
16/11/2019	191.8298611	27.95243056	37.3	18.4
17/11/2019	189.6875	27.99305556	37.4	19.3
18/11/2019	199.1076389	28.23541667	38.3	18.9
19/11/2019	195.6979167	28.09583333	38.8	18
20/11/2019	198.6076389	28.26631944	38.5	17.9
