Onset	ProbabilitySum
31/07/1995	0.4234
28/07/1995	0.424
27/07/1995	0.4247
30/07/1995	0.4254
01/08/1995	0.426
31/07/1995	0.4267
02/08/1995	0.4273
29/07/1995	0.428
03/08/1995	0.4287
01/08/1995	0.4293
01/08/1995	0.43
30/07/1995	0.4306
01/08/1995	0.4313
03/08/1995	0.432
28/07/1995	0.4326
24/07/1995	0.4333
28/07/1995	0.4339
26/07/1995	0.4346
28/07/1995	0.4353
25/07/1995	0.4359
26/07/1995	0.4366
26/07/1995	0.4373
27/07/1995	0.4379
28/07/1995	0.4386
26/07/1995	0.4392
25/07/1995	0.4399
24/07/1995	0.4406
24/07/1995	0.4412
28/07/1995	0.4419
28/07/1995	0.4425
26/07/1995	0.4432
26/07/1995	0.4439
24/07/1995	0.4445
26/07/1995	0.4452
26/07/1995	0.4458
27/07/1995	0.4465
25/07/1995	0.4472
27/07/1995	0.4478
29/07/1995	0.4485
24/07/1995	0.4491
02/08/1995	0.4498
30/07/1995	0.4505
28/07/1995	0.4511
30/07/1995	0.4518
29/07/1995	0.4524
30/07/1995	0.4531
27/07/1995	0.4538
31/07/1995	0.4544
30/07/1995	0.4551
29/07/1995	0.4557
30/07/1995	0.4564
28/07/1995	0.4571
28/07/1995	0.4577
26/07/1995	0.4584
26/07/1995	0.459
29/07/1995	0.4597
29/07/1995	0.4604
29/07/1995	0.461
30/07/1995	0.4617
28/07/1995	0.4624
29/07/1995	0.463
27/07/1995	0.4637
28/07/1995	0.4643
26/07/1995	0.465
27/07/1995	0.4657
30/07/1995	0.4663
26/07/1995	0.467
26/07/1995	0.4676
30/07/1995	0.4683
31/07/1995	0.469
02/08/1995	0.4696
01/08/1995	0.4703
30/07/1995	0.4709
29/07/1995	0.4716
29/07/1995	0.4723
02/08/1995	0.4729
30/07/1995	0.4736
28/07/1995	0.4742
28/07/1995	0.4749
29/07/1995	0.4756
30/07/1995	0.4762
28/07/1995	0.4769
26/07/1995	0.4775
28/07/1995	0.4782
05/08/1995	0.4789
31/07/1995	0.4795
03/08/1995	0.4802
02/08/1995	0.4808
01/08/1995	0.4815
30/07/1995	0.4822
02/08/1995	0.4828
01/08/1995	0.4835
01/08/1995	0.4841
03/08/1995	0.4848
29/07/1995	0.4855
02/08/1995	0.4861
29/07/1995	0.4868
30/07/1995	0.4875
02/08/1995	0.4881
04/08/1995	0.4888
02/08/1995	0.4894
03/08/1995	0.4901
01/08/1995	0.4908
01/08/1995	0.4914
31/07/1995	0.4921
01/08/1995	0.4927
30/07/1995	0.4934
01/08/1995	0.4941
05/08/1995	0.4947
25/07/1995	0.4954
25/07/1995	0.496
26/07/1995	0.4967
26/07/1995	0.4974
26/07/1995	0.498
22/07/1995	0.4987
23/07/1995	0.4993
23/07/1995	0.5
24/07/1995	0.5007
24/07/1995	0.5013
24/07/1995	0.502
28/07/1995	0.5026
28/07/1995	0.5033
28/07/1995	0.504
28/07/1995	0.5046
28/07/1995	0.5053
28/07/1995	0.5059
24/07/1995	0.5066
24/07/1995	0.5073
25/07/1995	0.5079
27/07/1995	0.5086
28/07/1995	0.5092
28/07/1995	0.5099
29/07/1995	0.5106
23/07/1995	0.5112
26/07/1995	0.5119
24/07/1995	0.5125
27/07/1995	0.5132
28/07/1995	0.5139
29/07/1995	0.5145
30/07/1995	0.5152
25/07/1995	0.5159
24/07/1995	0.5165
23/07/1995	0.5172
26/07/1995	0.5178
28/07/1995	0.5185
24/07/1995	0.5192
28/07/1995	0.5198
23/07/1995	0.5205
20/07/1995	0.5211
20/07/1995	0.5218
19/07/1995	0.5225
22/07/1995	0.5231
23/07/1995	0.5238
23/07/1995	0.5244
25/07/1995	0.5251
23/07/1995	0.5258
22/07/1995	0.5264
19/07/1995	0.5271
23/07/1995	0.5277
23/07/1995	0.5284
23/07/1995	0.5291
23/07/1995	0.5297
23/07/1995	0.5304
19/07/1995	0.531
23/07/1995	0.5317
21/07/1995	0.5324
23/07/1995	0.533
24/07/1995	0.5337
23/07/1995	0.5343
24/07/1995	0.535
